Lineage,MIN(collection_date),数量
B.1.1.381,2020-03-26,26
B.1.1.382,2020-04-19,29
B.1.1.383,2020-04-29,16
B.1.1.384,2020-12-28,42
B.1.1.385,2020-09-11,282
B.1.1.386,2020-05-30,17
B.1.1.387,2020-08-04,17
B.1.1.388,2020-04-26,5
B.1.1.389,2020-06-18,164
B.1.1.39,2020-07-01,1936
B.1.1.391,2020-03-14,142
B.1.1.392,2020-08-26,20
B.1.1.393,2020-11-04,4
B.1.1.394,2020-06-21,40
B.1.1.395,2020-04-27,19
B.1.1.396,2020-07-25,6
B.1.1.397,2020-08-08,489
B.1.1.398,2020-03-19,392
B.1.1.399,2020-04-15,9
B.1.1.4,2020-03-31,335
B.1.1.40,2020-04-20,32
B.1.1.400,2020-03-29,25
B.1.1.401,2020-06-01,15
B.1.1.402,2020-04-11,92
B.1.1.403,2020-09-03,40
B.1.1.404,2020-05-25,81
B.1.1.405,2020-09-14,13
B.1.1.406,2020-03-25,153
B.1.1.407,2020-06-09,76
B.1.1.408,2020-07-11,18
B.1.1.409,2020-02-28,374
B.1.1.41,2020-03-21,164
B.1.1.410,2020-05-19,28
B.1.1.411,2020-03-22,76
B.1.1.412,2020-06-18,134
B.1.1.413,2020-09-07,148
B.1.1.414,2020-07-14,7
B.1.1.415,2020-11-28,20
B.1.1.416,2020-03-19,1440
B.1.1.417,2020-06-23,186
B.1.1.418,2020-10-06,55
B.1.1.419,2020-03-14,222
B.1.1.420,2020-04-17,1355
B.1.1.421,2020-05-27,29
B.1.1.422,2020-10-26,19
B.1.1.423,2020-05-19,16
B.1.1.424,2020-04-05,35
B.1.1.425,2020-08-25,22
B.1.1.426,2020-06-16,21
B.1.1.427,2020-07-25,8
B.1.1.428,2020-10-26,112
B.1.1.429,2020-09-15,225
B.1.1.43,2020-03-25,67
B.1.1.430,2020-06-03,22
B.1.1.431,2020-06-23,55
B.1.1.432,2020-04-24,853
B.1.1.433,2020-08-09,712
B.1.1.434,2020-06-01,2979
B.1.1.435,2020-09-26,32
B.1.1.436,2020-03-23,39
B.1.1.437,2020-06-08,92
B.1.1.438,2020-03-12,20
B.1.1.44,2020-02-28,395
B.1.1.440,2020-05-09,83
B.1.1.441,2020-06-26,19
B.1.1.442,2020-05-13,57
B.1.1.444,2020-07-27,7
B.1.1.445,2020-12-14,25
B.1.1.446,2020-08-15,9
B.1.1.447,2020-05-05,28
B.1.1.448,2020-04-20,564
B.1.1.449,2020-09-04,31
B.1.1.45,2020-05-22,65
B.1.1.450,2020-11-20,29
B.1.1.451,2020-10-10,30
B.1.1.452,2020-09-10,10
B.1.1.453,2020-08-05,155
B.1.1.456,2020-06-18,18
B.1.1.458,2020-05-14,20
B.1.1.459,2020-04-04,66
B.1.1.46,2020-04-20,238
B.1.1.461,2020-09-18,86
B.1.1.462,2020-03-25,108
B.1.1.463,2020-05-11,17
B.1.1.464,2020-03-28,1003
B.1.1.465,2020-04-21,64
B.1.1.466,2020-07-21,43
B.1.1.467,2020-10-08,55
B.1.1.47,2020-07-01,172
B.1.1.48,2020-03-27,358
B.1.1.480,2020-04-13,40
B.1.1.481,2020-08-11,15
B.1.1.482,2020-03-02,58
B.1.1.483,2020-12-06,25
B.1.1.484,2020-05-31,6
B.1.1.485,2020-04-09,57
B.1.1.486,2020-08-13,668
B.1.1.487,2020-03-22,135
B.1.1.49,2020-03-23,57
B.1.1.5,2020-03-16,119
B.1.1.50,2020-03-29,1535
B.1.1.500,2020-04-10,47
B.1.1.506,2020-05-14,25
B.1.1.507,2020-09-07,46
B.1.1.51,2020-03-30,576
B.1.1.512,2020-07-21,44
B.1.1.513,2020-03-16,81
B.1.1.514,2020-04-21,33
B.1.1.515,2020-03-16,51
B.1.1.516,2020-04-14,23
B.1.1.517,2020-11-16,175
B.1.1.518,2020-05-23,195
B.1.1.519,2020-03-24,27043
B.1.1.52,2020-04-11,66
B.1.1.521,2020-05-15,194
B.1.1.522,2021-02-08,52
B.1.1.523,2021-01-02,642
B.1.1.524,2020-11-14,48
B.1.1.525,2021-01-05,146
B.1.1.526,2020-08-31,146
B.1.1.528,2020-12-07,183
B.1.1.529,2020-07-01,8290
B.1.1.53,2020-05-12,81
B.1.1.54,2020-03-19,355
B.1.1.55,2020-04-12,73
B.1.1.56,2020-05-21,27
B.1.1.57,2020-03-31,96
B.1.1.58,2020-04-08,143
B.1.1.59,2020-06-01,157
B.1.1.61,2020-02-29,121
B.1.1.62,2020-05-07,38
B.1.1.63,2020-06-23,1938
B.1.1.67,2020-03-15,241
B.1.1.7,2020-02-07,1140124
B.1.1.70,2020-03-06,3077
B.1.1.71,2020-03-06,167
B.1.1.72,2020-07-25,31
B.1.1.74,2020-03-25,234
B.1.1.75,2020-03-17,98
B.1.1.77,2020-05-28,32
B.1.1.8,2020-03-15,303
B.1.1.82,2020-04-06,28
B.1.1.83,2020-03-21,476
B.1.1.84,2020-06-22,21
B.1.1.86,2020-05-19,26
B.1.1.87,2020-04-10,15
B.1.1.88,2020-03-20,19
B.1.1.89,2020-03-12,163
B.1.1.90,2020-04-11,12
B.1.1.91,2020-04-10,6
B.1.1.92,2020-06-07,30
B.1.1.93,2020-06-16,40
B.1.1.95,2020-04-03,44
B.1.1.97,2020-05-06,37
B.1.1.98,2020-04-05,54
B.1.1.99,2020-04-07,41
B.1.103,2020-04-09,46
B.1.104,2020-03-02,255
B.1.105,2020-03-06,104
B.1.106,2020-04-23,32
B.1.108,2020-02-25,208
B.1.110,2020-03-02,223
B.1.110.1,2020-03-18,10
B.1.110.2,2020-04-03,6
B.1.110.3,2020-03-15,1544
B.1.111,2020-03-07,861
B.1.112,2020-04-06,193
B.1.113,2020-06-03,62
B.1.115,2020-03-17,43
B.1.116,2020-03-29,100
B.1.117,2020-03-30,81
B.1.118,2020-03-09,116
B.1.119,2020-03-12,106
B.1.12,2020-03-04,121
B.1.120,2020-03-27,130
B.1.124,2020-03-19,127
B.1.126,2020-05-05,1290
B.1.127,2020-10-26,499
B.1.128,2020-03-09,1699
B.1.13,2020-03-09,434
B.1.131,2020-05-27,115
B.1.134,2020-04-03,195
B.1.137,2020-04-06,141
B.1.139,2020-03-18,1620
B.1.14,2020-03-16,58
B.1.140,2020-04-30,51
B.1.142,2020-03-12,341
B.1.143,2020-03-28,43
B.1.145,2020-04-21,18
B.1.146,2020-06-16,241
B.1.147,2020-03-04,1372
B.1.149,2020-03-31,308
B.1.151,2020-03-10,94
B.1.153,2020-03-11,86
B.1.157,2020-03-03,210
B.1.158,2020-03-13,13
B.1.159,2020-03-17,78
B.1.160,2020-01-10,29379
B.1.160.10,2020-08-27,121
B.1.160.11,2020-10-08,178
B.1.160.12,2020-10-15,158
B.1.160.13,2020-09-18,36
B.1.160.14,2020-09-01,440
B.1.160.15,2020-09-30,196
B.1.160.16,2020-09-30,1150
B.1.160.17,2020-11-09,594
B.1.160.18,2020-11-10,135
B.1.160.19,2020-11-24,27
B.1.160.20,2020-10-12,121
B.1.160.21,2020-11-24,49
B.1.160.22,2020-10-07,148
B.1.160.23,2020-09-07,199
B.1.160.24,2020-11-23,218
B.1.160.25,2020-12-16,89
B.1.160.26,2020-09-25,407
B.1.160.27,2021-01-05,62
B.1.160.28,2020-09-05,333
B.1.160.29,2020-10-22,236
B.1.160.30,2020-10-21,211
B.1.160.31,2020-10-08,120
B.1.160.32,2020-08-25,203
B.1.160.33,2020-10-30,200
B.1.160.7,2020-10-03,418
B.1.160.8,2020-10-05,691
B.1.160.9,2020-10-19,139
B.1.161,2020-03-27,57
B.1.162,2020-03-15,222
B.1.163,2020-03-16,45
B.1.164,2020-04-24,69
B.1.165,2020-05-01,77
B.1.166,2020-03-04,121
B.1.167,2020-03-27,24
B.1.168,2020-04-23,37
B.1.169,2020-03-31,66
B.1.170,2020-03-19,173
B.1.173,2020-05-16,37
B.1.177,2020-02-02,75250
B.1.177.10,2020-09-02,1152
B.1.177.11,2020-04-04,586
B.1.177.12,2020-03-30,6591
B.1.177.14,2020-07-27,181
B.1.177.15,2020-09-01,1492
B.1.177.16,2020-09-10,1481
B.1.177.17,2020-06-02,1203
B.1.177.18,2020-09-14,836
B.1.177.19,2020-09-03,591
B.1.177.2,2020-09-03,218
B.1.177.20,2020-03-21,657
B.1.177.21,2020-08-24,13088
B.1.177.23,2020-08-17,300
B.1.177.24,2020-08-17,774
B.1.177.25,2020-10-27,39
B.1.177.26,2020-10-03,143
B.1.177.27,2020-10-12,102
B.1.177.28,2020-10-18,136
B.1.177.29,2020-09-07,16
B.1.177.3,2020-08-24,119
B.1.177.30,2020-10-23,338
B.1.177.31,2020-08-24,39
B.1.177.32,2020-08-10,740
B.1.177.33,2020-09-01,484
B.1.177.34,2020-12-06,15
B.1.177.35,2020-10-17,1644
B.1.177.36,2020-09-14,60
B.1.177.37,2020-11-16,33
B.1.177.38,2020-09-11,93
B.1.177.39,2020-10-05,62
B.1.177.4,2020-06-03,4667
B.1.177.40,2020-10-12,181
