,Lineage,parent,MIN(collection_date),parent_date,gap,N,M,S,E
223,B.1.264,B.1,2020-03-13,2020-01-01,72,0.0035973376,0.0033389483,0.0034189687,0.0033325942
224,B.1.265,B.1,2020-03-15,2020-01-01,74,0.0016840922,0.0010585569,0.0014310008,0.0011094177
225,B.1.267,B.1,2020-03-24,2020-01-01,83,0.0015014326,0.0008968746,0.0015418205,0.0007918624
226,B.1.268,B.1,2020-03-18,2020-01-01,77,0.0018473350,0.0009885684,0.0015189530,0.0010060125
227,B.1.270,B.1,2020-03-18,2020-01-01,77,0.0015064369,0.0009345575,0.0012873681,0.0009729678
228,B.1.273,B.1,2020-03-13,2020-01-01,72,0.0014683134,0.0008547052,0.0014461945,0.0008794204
229,B.1.274,B.1,2020-04-13,2020-01-01,103,0.0010842906,0.0007043537,0.0010987585,0.0007306803
230,B.1.276,B.1,2020-03-22,2020-01-01,81,0.0016337796,0.0009683784,0.0016238681,0.0008823016
231,B.1.277,B.1,2020-03-04,2020-01-01,63,0.0016780725,0.0009768060,0.0016527937,0.0010050519
232,B.1.279,B.1,2020-03-15,2020-01-01,74,0.0018338652,0.0011626106,0.0019236611,0.0004544425
233,B.1.280,B.1,2020-06-27,2020-01-01,178,0.0011470044,0.0010875524,0.0011055210,0.0011092902
234,B.1.281,B.1,2020-04-08,2020-01-01,98,0.0010787609,0.0006279467,0.0010625103,0.0006461048
235,B.1.282,B.1,2020-06-01,2020-01-01,152,0.0006955169,0.0004048604,0.0006850395,0.0004165676
236,B.1.284,B.1,2020-03-16,2020-01-01,75,0.0021304507,0.0018677122,0.0019456185,0.0018808788
237,B.1.285,B.1,2020-06-10,2020-01-01,161,0.0010380769,0.0006062932,0.0009469236,0.0006574919
238,B.1.287,B.1,2020-05-13,2020-01-01,153,0.0009132400,0.0006378899,0.0008586811,0.0004566601
239,B.1.289,B.1,2020-03-29,2020-01-01,88,0.0013478799,0.0009957208,0.0014527375,0.0006411559
240,B.1.291,B.1,2020-04-21,2020-01-01,111,0.0012159108,0.0006664939,0.0011123574,0.0006678631
241,B.1.292,B.1,2020-03-29,2020-01-01,91,0.0022153347,0.0017494256,0.0021535825,0.0017686324
242,B.1.293,B.1,2020-03-16,2020-01-01,75,0.0029649843,0.0026562562,0.0027944410,0.0028007377
243,B.1.294,B.1,2020-06-16,2020-01-01,167,0.0007784509,0.0005734934,0.0007035381,0.0003303276
244,B.1.298,B.1,2020-03-20,2020-01-01,79,0.0020261477,0.0014453255,0.0019667544,0.0014980777
245,B.1.3,B.1,2020-03-30,2020-01-01,89,0.0013781574,0.0007575344,0.0010881697,0.0009292230
246,B.1.301,B.1,2020-03-29,2020-01-01,88,0.0012799535,0.0008318105,0.0013723453,0.0011123763
247,B.1.302,B.1,2020-03-12,2020-01-01,71,0.0016571520,0.0011791225,0.0015828366,0.0010875495
248,B.1.304,B.1,2020-05-05,2020-01-01,125,0.0011943181,0.0007809056,0.0012513167,0.0008037879
249,B.1.305,B.1,2020-06-04,2020-01-01,155,0.0008282821,0.0004975653,0.0008079863,0.0006760766
250,B.1.306,B.1,2020-06-03,2020-01-01,154,0.0008697206,0.0006270337,0.0008092278,0.0005877243
251,B.1.308,B.1,2020-03-18,2020-01-01,77,0.0016862375,0.0010725589,0.0019263927,0.0010851154
252,B.1.309,B.1,2020-04-26,2020-01-01,116,0.0013230832,0.0007777781,0.0011833447,0.0008661507
253,B.1.310,B.1,2020-04-01,2020-01-01,91,0.0011617425,0.0006762503,0.0011442418,0.0006958052
254,B.1.311,B.1,2020-03-31,2020-01-01,90,0.0012877774,0.0006517836,0.0012305803,0.0007080275
255,B.1.313,B.1,2020-04-01,2020-01-01,91,0.0010737706,0.0006753061,0.0010988514,0.0007218768
256,B.1.314,B.1,2020-03-13,2020-01-01,72,0.0030100063,0.0028136591,0.0029198814,0.0027694851
257,B.1.315,B.1,2020-03-25,2020-01-01,84,0.0018441424,0.0007726772,0.0017162928,0.0018499529
258,B.1.316,B.1,2020-04-29,2020-01-01,119,0.0013114389,0.0008202790,0.0012205051,0.0008443150
259,B.1.318,B.1,2020-06-22,2020-01-01,173,0.0009093304,0.0005642382,0.0006986602,0.0005807716
260,B.1.319,B.1,2020-03-05,2020-01-01,64,0.0049721181,0.0046304147,0.0048385695,0.0046465330
261,B.1.320,B.1,2020-03-07,2020-01-01,66,0.0019471939,0.0012730268,0.0017881408,0.0013172895
262,B.1.321,B.1,2020-03-09,2020-01-01,68,0.0019036805,0.0012580858,0.0018757561,0.0012841540
263,B.1.323,B.1,2020-03-13,2020-01-01,72,0.0016889423,0.0008956198,0.0016882551,0.0009478166
264,B.1.324,B.1,2020-03-15,2020-01-01,74,0.0017360784,0.0014635344,0.0015444015,0.0014554173
265,B.1.325,B.1,2020-05-27,2020-01-01,147,0.0008907926,0.0005309671,0.0008154354,0.0006745485
266,B.1.326,B.1,2020-04-25,2020-01-01,115,0.0009407848,0.0006492694,0.0009734085,0.0006351341
267,B.1.328,B.1,2020-05-23,2020-01-01,143,0.0010862747,0.0006826098,0.0010768182,0.0007026118
268,B.1.329,B.1,2020-03-18,2020-01-01,77,0.0013729684,0.0007992049,0.0013522858,0.0008223152
269,B.1.330,B.1,2020-03-24,2020-01-01,83,0.0017518091,0.0011758937,0.0017481010,0.0012170326
270,B.1.332,B.1,2020-03-07,2020-01-01,66,0.0021414097,0.0017094411,0.0020319571,0.0017044140
271,B.1.333,B.1,2020-03-17,2020-01-01,76,0.0017696478,0.0010974138,0.0017337160,0.0008947034
272,B.1.334,B.1,2020-03-20,2020-01-01,79,0.0021624147,0.0019252595,0.0021181732,0.0019459244
273,B.1.335,B.1,2020-04-28,2020-01-01,118,0.0013257103,0.0007769118,0.0011046044,0.0008143227
274,B.1.336,B.1,2020-03-13,2020-01-01,72,0.0018055447,0.0016339825,0.0019194591,0.0016908912
275,B.1.337,B.1,2020-07-03,2020-01-01,184,0.0005300519,0.0002815601,0.0004339730,0.0003509910
276,B.1.338,B.1,2020-03-16,2020-01-01,75,0.0017770057,0.0012400220,0.0017643971,0.0012636273
277,B.1.340,B.1,2020-05-19,2020-01-01,139,0.0008507445,0.0004570866,0.0007358840,0.0004256824
